PackageName,Recommended,Exist,Used Package,Compliable,Runnable,Percentage=>,Exist/Recommended,1,Used Package/Exist,Used Package/Recommended,2,Compilable/Used Package,Compilable/Exist,Compilable/Recommended,3,Runnable/Compilable,Runnable/Used Package,Runnable/Exist,Runnable/Recommended
java.applet,5,2,2,1,0,,40.0,,100.0,40.0,,50.0,50.0,20.0,,0.0,0.0,0.0,0.0
java.awt,267,82,72,58,17,,30.71,,87.8,26.97,,80.56,70.73,21.72,,20.73,23.61,20.73,6.37
java.awt.color,25,4,3,0,0,,16.0,,75.0,12.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
java.awt.datatransfer,25,4,4,2,0,,16.0,,100.0,16.0,,50.0,50.0,8.0,,0.0,0.0,0.0,0.0
java.awt.dnd,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
java.awt.event,162,48,46,21,10,,29.63,,95.83,28.4,,45.65,43.75,12.96,,20.83,21.74,20.83,6.17
java.awt.font,131,14,13,2,2,,10.69,,92.86,9.92,,15.38,14.29,1.53,,14.29,15.38,14.29,1.53
java.awt.geom,411,103,100,88,88,,25.06,,97.09,24.33,,88.0,85.44,21.41,,85.44,88.0,85.44,21.41
java.awt.im,15,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
java.awt.im.spi,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
java.awt.image,344,56,52,40,33,,16.28,,92.86,15.12,,76.92,71.43,11.63,,58.93,63.46,58.93,9.59
java.awt.image.renderable,20,2,1,1,0,,10.0,,50.0,5.0,,100.0,50.0,5.0,,0.0,0.0,0.0,0.0
java.awt.print,50,4,4,3,2,,8.0,,100.0,8.0,,75.0,75.0,6.0,,50.0,50.0,50.0,4.0
java.beans,185,42,39,33,24,,22.7,,92.86,21.08,,84.62,78.57,17.84,,57.14,61.54,57.14,12.97
java.beans.beancontext,76,4,1,0,0,,5.26,,25.0,1.32,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
java.io,370,252,235,203,172,,68.11,,93.25,63.51,,86.38,80.56,54.86,,68.25,73.19,68.25,46.49
java.lang,348,130,119,114,104,,37.36,,91.54,34.2,,95.8,87.69,32.76,,80.0,87.39,80.0,29.89
java.lang.annotation,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
java.lang.instrument,5,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
java.lang.invoke,71,7,4,1,0,,9.86,,57.14,5.63,,25.0,14.29,1.41,,0.0,0.0,0.0,0.0
java.lang.management,35,9,9,8,8,,25.71,,100.0,25.71,,88.89,88.89,22.86,,88.89,88.89,88.89,22.86
java.lang.ref,30,2,2,1,1,,6.67,,100.0,6.67,,50.0,50.0,3.33,,50.0,50.0,50.0,3.33
java.lang.reflect,78,13,11,10,9,,16.67,,84.62,14.1,,90.91,76.92,12.82,,69.23,81.82,69.23,11.54
java.math,40,12,12,12,12,,30.0,,100.0,30.0,,100.0,100.0,30.0,,100.0,100.0,100.0,30.0
java.net,425,144,139,126,90,,33.88,,96.53,32.71,,90.65,87.5,29.65,,62.5,64.75,62.5,21.18
java.nio,65,27,27,27,24,,41.54,,100.0,41.54,,100.0,100.0,41.54,,88.89,88.89,88.89,36.92
java.nio.channels,111,36,33,26,16,,32.43,,91.67,29.73,,78.79,72.22,23.42,,44.44,48.48,44.44,14.41
java.nio.channels.spi,30,5,3,1,1,,16.67,,60.0,10.0,,33.33,20.0,3.33,,20.0,33.33,20.0,3.33
java.nio.charset,38,9,9,8,7,,23.68,,100.0,23.68,,88.89,88.89,21.05,,77.78,77.78,77.78,18.42
java.nio.charset.spi,5,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
java.nio.file,84,26,26,16,8,,30.95,,100.0,30.95,,61.54,61.54,19.05,,30.77,30.77,30.77,9.52
java.nio.file.attribute,31,3,2,1,1,,9.68,,66.67,6.45,,50.0,33.33,3.23,,33.33,50.0,33.33,3.23
java.nio.file.spi,10,2,0,0,0,,20.0,,0.0,0.0,,0,0.0,0.0,,0.0,0,0.0,0.0
java.rmi,58,5,5,3,0,,8.62,,100.0,8.62,,60.0,60.0,5.17,,0.0,0.0,0.0,0.0
java.rmi.activation,85,5,4,0,0,,5.88,,80.0,4.71,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
java.rmi.dgc,10,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
java.rmi.registry,5,3,3,3,3,,60.0,,100.0,60.0,,100.0,100.0,60.0,,100.0,100.0,100.0,60.0
java.rmi.server,90,6,4,4,4,,6.67,,66.67,4.44,,100.0,66.67,4.44,,66.67,100.0,66.67,4.44
java.security,341,45,37,17,16,,13.2,,82.22,10.85,,45.95,37.78,4.99,,35.56,43.24,35.56,4.69
java.security.acl,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
java.security.cert,167,14,9,3,1,,8.38,,64.29,5.39,,33.33,21.43,1.8,,7.14,11.11,7.14,0.6
java.security.interfaces,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
java.security.spec,195,44,19,6,5,,22.56,,43.18,9.74,,31.58,13.64,3.08,,11.36,26.32,11.36,2.56
java.sql,84,6,6,6,5,,7.14,,100.0,7.14,,100.0,100.0,7.14,,83.33,83.33,83.33,5.95
java.text,259,59,59,57,53,,22.78,,100.0,22.78,,96.61,96.61,22.01,,89.83,89.83,89.83,20.46
java.text.spi,35,4,0,0,0,,11.43,,0.0,0.0,,0,0.0,0.0,,0.0,0,0.0,0.0
java.time,126,72,72,72,72,,57.14,,100.0,57.14,,100.0,100.0,57.14,,100.0,100.0,100.0,57.14
java.time.chrono,99,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
java.time.format,30,3,3,2,1,,10.0,,100.0,10.0,,66.67,66.67,6.67,,33.33,33.33,33.33,3.33
java.time.temporal,30,1,1,1,1,,3.33,,100.0,3.33,,100.0,100.0,3.33,,100.0,100.0,100.0,3.33
java.time.zone,20,2,2,0,0,,10.0,,100.0,10.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
java.util,443,212,196,186,161,,47.86,,92.45,44.24,,94.9,87.74,41.99,,75.94,82.14,75.94,36.34
java.util.concurrent,225,130,127,124,115,,57.78,,97.69,56.44,,97.64,95.38,55.11,,88.46,90.55,88.46,51.11
java.util.concurrent.atomic,104,70,70,68,66,,67.31,,100.0,67.31,,97.14,97.14,65.38,,94.29,94.29,94.29,63.46
java.util.concurrent.locks,50,31,28,21,21,,62.0,,90.32,56.0,,75.0,67.74,42.0,,67.74,75.0,67.74,42.0
java.util.function,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
java.util.jar,40,7,7,7,2,,17.5,,100.0,17.5,,100.0,100.0,17.5,,28.57,28.57,28.57,5.0
java.util.logging,141,41,39,20,4,,29.08,,95.12,27.66,,51.28,48.78,14.18,,9.76,10.26,9.76,2.84
java.util.prefs,40,25,21,14,13,,62.5,,84.0,52.5,,66.67,56.0,35.0,,52.0,61.9,52.0,32.5
java.util.regex,10,8,8,8,8,,80.0,,100.0,80.0,,100.0,100.0,80.0,,100.0,100.0,100.0,80.0
java.util.spi,48,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
java.util.stream,10,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
java.util.zip,126,67,66,59,38,,53.17,,98.51,52.38,,89.39,88.06,46.83,,56.72,57.58,56.72,30.16
javax.accessibility,85,5,5,1,0,,5.88,,100.0,5.88,,20.0,20.0,1.18,,0.0,0.0,0.0,0.0
javax.activation,55,16,16,0,0,,29.09,,100.0,29.09,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
javax.activity,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
javax.annotation,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
javax.annotation.processing,25,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.crypto,105,14,14,4,4,,13.33,,100.0,13.33,,80.0,28.57,3.81,,28.57,80.0,28.57,3.81
javax.crypto.interfaces,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
javax.crypto.spec,101,27,24,16,15,,26.73,,88.89,23.76,,66.67,59.26,15.84,,55.56,62.5,55.56,14.85
javax.imageio,80,13,13,10,5,,16.25,,100.0,16.25,,76.92,76.92,12.5,,38.46,38.46,38.46,6.25
javax.imageio.event,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
javax.imageio.metadata,45,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.imageio.plugins.bmp,5,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.imageio.plugins.jpeg,20,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.imageio.spi,90,4,4,0,0,,4.44,,100.0,4.44,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
javax.imageio.stream,45,9,9,4,4,,20.0,,100.0,20.0,,44.44,44.44,8.89,,44.44,44.44,44.44,8.89
javax.jws,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
javax.jws.soap,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
javax.lang.model,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
javax.lang.model.element,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
javax.lang.model.type,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
javax.lang.model.util,298,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.management,307,43,40,10,8,,14.01,,93.02,13.03,,25.0,23.26,3.26,,18.6,20.0,18.6,2.61
javax.management.loading,35,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.management.modelmbean,51,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.management.monitor,30,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.management.openmbean,168,3,2,1,1,,1.79,,66.67,1.19,,50.0,33.33,0.6,,33.33,50.0,33.33,0.6
javax.management.relation,143,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.management.remote,96,3,3,2,2,,3.12,,100.0,3.12,,66.67,66.67,2.08,,66.67,66.67,66.67,2.08
javax.management.remote.rmi,120,2,2,0,0,,1.67,,100.0,1.67,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
javax.management.timer,10,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.naming,50,7,7,5,2,,14.0,,100.0,14.0,,71.43,71.43,10.0,,28.57,28.57,28.57,4.0
javax.naming.directory,45,6,6,6,6,,13.33,,100.0,13.33,,100.0,100.0,13.33,,100.0,100.0,100.0,13.33
javax.naming.event,25,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.naming.ldap,111,1,1,0,0,,0.9,,100.0,0.9,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
javax.naming.spi,20,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.net,10,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.net.ssl,227,11,10,5,3,,4.85,,90.91,4.41,,50.0,45.45,2.2,,27.27,30.0,27.27,1.32
javax.print,70,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.print.attribute,80,6,6,0,0,,7.5,,100.0,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
javax.print.attribute.standard,510,13,12,6,6,,2.55,,92.31,2.35,,50.0,46.15,1.18,,46.15,50.0,46.15,1.18
javax.print.event,34,8,8,6,6,,23.53,,100.0,23.53,,75.0,75.0,17.65,,75.0,75.0,75.0,17.65
javax.rmi,5,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.rmi.CORBA,15,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.rmi.ssl,10,2,1,1,1,,20.0,,50.0,10.0,,100.0,50.0,10.0,,50.0,100.0,50.0,10.0
javax.script,25,3,1,1,1,,12.0,,33.33,4.0,,100.0,33.33,4.0,,33.33,100.0,33.33,4.0
javax.security.auth,40,3,3,3,3,,7.5,,100.0,7.5,,100.0,100.0,7.5,,100.0,100.0,100.0,7.5
javax.security.auth.callback,36,8,8,1,1,,22.22,,100.0,22.22,,12.5,12.5,2.78,,12.5,12.5,12.5,2.78
javax.security.auth.kerberos,30,7,7,4,2,,23.33,,100.0,23.33,,57.14,57.14,13.33,,28.57,28.57,28.57,6.67
javax.security.auth.login,40,4,4,3,1,,10.0,,100.0,10.0,,75.0,75.0,7.5,,25.0,25.0,25.0,2.5
javax.security.auth.spi,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
javax.security.auth.x500,55,2,1,1,1,,3.64,,50.0,1.82,,100.0,50.0,1.82,,50.0,100.0,50.0,1.82
javax.security.cert,10,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.security.sasl,31,1,1,0,0,,3.23,,100.0,3.23,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
javax.sound.midi,171,31,31,12,11,,18.13,,100.0,18.13,,38.71,38.71,7.02,,35.48,35.48,35.48,6.43
javax.sound.midi.spi,20,2,0,0,0,,10.0,,0.0,0.0,,0,0.0,0.0,,0.0,0,0.0,0.0
javax.sound.sampled,301,17,15,9,7,,5.65,,88.24,4.98,,60.0,52.94,2.99,,41.18,46.67,41.18,2.33
javax.sound.sampled.spi,20,4,4,0,0,,20.0,,100.0,20.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
javax.sql,16,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.sql.rowset,35,5,4,0,0,,14.29,,80.0,11.43,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
javax.sql.rowset.serial,45,5,4,4,2,,11.11,,80.0,8.89,,100.0,80.0,8.89,,40.0,50.0,40.0,4.44
javax.sql.rowset.spi,10,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.swing,1222,227,195,152,102,,18.58,,85.9,15.96,,77.95,66.96,12.44,,44.93,52.31,44.93,8.35
javax.swing.border,63,11,10,7,2,,17.46,,90.91,15.87,,70.0,63.64,11.11,,18.18,20.0,18.18,3.17
javax.swing.colorchooser,15,2,0,0,0,,13.33,,0.0,0.0,,0,0.0,0.0,,0.0,0,0.0,0.0
javax.swing.event,141,26,23,16,8,,18.44,,88.46,16.31,,69.57,61.54,11.35,,30.77,34.78,30.77,5.67
javax.swing.filechooser,35,2,2,2,2,,5.71,,100.0,5.71,,100.0,100.0,5.71,,100.0,100.0,100.0,5.71
javax.swing.plaf,389,4,4,2,1,,1.03,,100.0,1.03,,50.0,50.0,0.51,,25.0,25.0,25.0,0.26
javax.swing.plaf.basic,502,36,20,8,4,,7.17,,55.56,3.98,,40.0,22.22,1.59,,11.11,20.0,11.11,0.8
javax.swing.plaf.metal,572,27,22,10,0,,4.72,,81.48,3.85,,45.45,37.04,1.75,,0.0,0.0,0.0,0.0
javax.swing.plaf.multi,249,4,3,3,2,,1.61,,75.0,1.2,,100.0,75.0,1.2,,50.0,66.67,50.0,0.8
javax.swing.plaf.nimbus,35,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.swing.plaf.synth,358,10,10,6,1,,2.79,,100.0,2.79,,60.0,60.0,1.68,,10.0,10.0,10.0,0.28
javax.swing.table,45,12,12,8,5,,26.67,,100.0,26.67,,66.67,66.67,17.78,,41.67,41.67,41.67,11.11
javax.swing.text,477,29,17,8,6,,6.08,,58.62,3.56,,47.06,27.59,1.68,,20.69,35.29,20.69,1.26
javax.swing.text.html,272,5,5,1,1,,1.84,,100.0,1.84,,20.0,20.0,0.37,,20.0,20.0,20.0,0.37
javax.swing.text.html.parser,80,3,3,0,0,,3.75,,100.0,3.75,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
javax.swing.text.rtf,5,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.swing.tree,65,24,23,15,15,,36.92,,95.83,35.38,,65.22,62.5,23.08,,62.5,65.22,62.5,23.08
javax.swing.undo,45,12,12,8,5,,26.67,,100.0,26.67,,66.67,66.67,17.78,,41.67,41.67,41.67,11.11
javax.tools,70,2,2,0,0,,2.86,,100.0,2.86,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
javax.transaction,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
javax.transaction.xa,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
javax.xml,30,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.xml.bind,93,6,6,0,0,,6.45,,100.0,6.45,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
javax.xml.bind.annotation,30,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.xml.bind.annotation.adapters,67,2,2,0,0,,2.99,,100.0,2.99,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
javax.xml.bind.attachment,10,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.xml.bind.helpers,70,1,1,0,0,,1.43,,100.0,1.43,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
javax.xml.bind.util,38,1,1,0,0,,2.63,,100.0,2.63,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
javax.xml.crypto,15,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.xml.crypto.dom,10,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.xml.crypto.dsig,10,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.xml.crypto.dsig.dom,10,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.xml.crypto.dsig.keyinfo,5,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.xml.crypto.dsig.spec,172,1,0,0,0,,0.58,,0.0,0.0,,0,0.0,0.0,,0.0,0,0.0,0.0
javax.xml.datatype,65,12,12,12,12,,18.46,,100.0,18.46,,100.0,100.0,18.46,,100.0,100.0,100.0,18.46
javax.xml.namespace,6,6,6,6,6,,100.0,,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,100.0
javax.xml.parsers,33,9,9,7,4,,27.27,,100.0,27.27,,77.78,77.78,21.21,,44.44,44.44,44.44,12.12
javax.xml.soap,70,6,6,0,0,,8.57,,100.0,8.57,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
javax.xml.stream,15,4,4,4,4,,26.67,,100.0,26.67,,100.0,100.0,26.67,,100.0,100.0,100.0,26.67
javax.xml.stream.events,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
javax.xml.stream.util,10,5,2,2,1,,50.0,,40.0,20.0,,100.0,40.0,20.0,,20.0,50.0,20.0,10.0
javax.xml.transform,15,2,2,1,1,,13.33,,100.0,13.33,,50.0,50.0,6.67,,50.0,50.0,50.0,6.67
javax.xml.transform.dom,10,2,2,2,2,,20.0,,100.0,20.0,,100.0,100.0,20.0,,100.0,100.0,100.0,20.0
javax.xml.transform.sax,15,2,2,0,0,,13.33,,100.0,13.33,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
javax.xml.transform.stax,11,1,1,1,1,,9.09,,100.0,9.09,,100.0,100.0,9.09,,100.0,100.0,100.0,9.09
javax.xml.transform.stream,35,8,8,8,8,,22.86,,100.0,22.86,,100.0,100.0,22.86,,100.0,100.0,100.0,22.86
javax.xml.validation,55,4,4,3,1,,7.27,,100.0,7.27,,75.0,75.0,5.45,,25.0,25.0,25.0,1.82
javax.xml.ws,102,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.xml.ws.handler,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
javax.xml.ws.handler.soap,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
javax.xml.ws.http,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
javax.xml.ws.soap,10,1,0,0,0,,10.0,,0.0,0.0,,0,0.0,0.0,,0.0,0,0.0,0.0
javax.xml.ws.spi,15,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.xml.ws.spi.http,15,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.xml.ws.wsaddressing,30,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
javax.xml.xpath,10,2,2,2,1,,20.0,,100.0,20.0,,100.0,100.0,20.0,,50.0,50.0,50.0,10.0
org.ietf.jgss,56,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.CORBA,799,3,3,0,0,,0.38,,100.0,0.38,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
org.omg.CORBA_2_3,5,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.CORBA_2_3.portable,77,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.CORBA.DynAnyPackage,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
org.omg.CORBA.ORBPackage,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
org.omg.CORBA.portable,103,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.CORBA.TypeCodePackage,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
org.omg.CosNaming,160,1,1,0,0,,0.62,,100.0,0.62,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
org.omg.CosNaming.NamingContextExtPackage,30,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.CosNaming.NamingContextPackage,138,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.Dynamic,5,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.DynamicAny,140,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.DynamicAny.DynAnyFactoryPackage,5,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.DynamicAny.DynAnyPackage,10,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.IOP,175,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.IOP.CodecFactoryPackage,5,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.IOP.CodecPackage,43,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.Messaging,5,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.PortableInterceptor,141,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.PortableInterceptor.ORBInitInfoPackage,42,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.PortableServer,136,1,1,0,0,,0.74,,100.0,0.74,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
org.omg.PortableServer.CurrentPackage,5,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.PortableServer.POAManagerPackage,18,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.PortableServer.POAPackage,50,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.PortableServer.portable,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
org.omg.PortableServer.ServantLocatorPackage,5,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.omg.SendingContext,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
org.omg.stub.java.rmi,5,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.w3c.dom,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
org.w3c.dom.bootstrap,5,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.w3c.dom.events,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
org.w3c.dom.ls,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
org.w3c.dom.views,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
org.xml.sax,10,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.xml.sax.ext,30,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
org.xml.sax.helpers,113,8,6,3,3,,7.08,,75.0,5.31,,50.0,37.5,2.65,,37.5,50.0,37.5,2.65
